,cities,clouds,country,dt,humidity,lat,lon,speed,temp,temp_max
330,hermanus,8,ZA,1505346191,94,-34.42,19.23,0.41,276.545,276.545
331,bairiki,48,BY,1505347348,86,55.54,28.64,7.66,286.045,286.045
332,lebu,92,CL,1505347318,100,-37.62,-73.65,8.56,284.045,284.045
333,scottsbluff,1,US,1505346780,32,41.87,-103.67,4.6,304.83,306.15
334,chuy,92,UY,1505346195,96,-33.7,-53.46,2.76,288.595,288.595
335,atuona,0,PF,1505346066,100,-9.8,-139.03,4.96,299.095,299.095
336,rikitea,80,PF,1505346193,100,-23.12,-134.97,4.56,294.845,294.845
337,luderitz,0,NA,1505343600,58,-26.65,15.16,6.7,287.15,287.15
338,bethel,90,US,1505345640,88,41.37,-73.41,3.6,296.37,297.15
339,vigrestad,0,NO,1505343000,87,58.57,5.7,2.6,285.15,285.15
340,butaritari,92,KI,1505346199,100,3.07,172.79,9.01,302.195,302.195
341,hobart,75,AU,1505341800,52,-42.88,147.33,8.7,281.15,281.15
342,jamestown,75,US,1505343360,77,42.1,-79.24,2.1,294.85,295.15
343,babushkin,0,RU,1505347349,94,51.71,105.86,2.21,282.845,282.845
